id,name,length,speed,from,to
87,Road #87,80.00,100.00,88,34
88,Road #88,40.00,70.00,64,74
89,Road #89,10.00,100.00,99,94
90,Road #90,80.00,60.00,44,14
91,Road #91,80.00,80.00,45,23
92,Road #92,80.00,110.00,113,48
93,Road #93,20.00,90.00,25,26
94,Road #94,90.00,110.00,96,76
95,Road #95,40.00,90.00,89,96
96,Road #96,10.00,90.00,75,18
97,Road #97,90.00,90.00,31,20
98,Road #98,50.00,90.00,64,20
99,Road #99,70.00,100.00,97,30
100,Road #100,50.00,70.00,111,53
101,Road #101,40.00,80.00,77,106
102,Road #102,40.00,80.00,24,45
103,Road #103,30.00,60.00,87,57
104,Road #104,10.00,90.00,52,57
105,Road #105,20.00,50.00,94,29
106,Road #106,20.00,110.00,51,81
107,Road #107,90.00,50.00,1,16
108,Road #108,40.00,90.00,78,47
109,Road #109,80.00,110.00,8,45
110,Road #110,50.00,50.00,15,58
111,Road #111,50.00,60.00,114,11
112,Road #112,80.00,100.00,101,68
113,Road #113,70.00,100.00,37,55
114,Road #114,40.00,100.00,107,72
115,Road #115,30.00,90.00,50,69
116,Road #116,70.00,80.00,60,90
117,Road #117,40.00,60.00,76,21
118,Road #118,70.00,70.00,116,39
119,Road #119,80.00,80.00,83,36
120,Road #120,60.00,90.00,78,38
121,Road #121,50.00,60.00,123,4
122,Road #122,30.00,50.00,92,98
123,Road #123,20.00,80.00,32,123
124,Road #124,10.00,80.00,108,89
125,Road #125,50.00,60.00,42,58
126,Road #126,50.00,100.00,1,16
127,Road #127,10.00,90.00,42,50
128,Road #128,20.00,70.00,102,53
129,Road #129,60.00,60.00,115,17
130,Road #130,50.00,100.00,2,110
131,Road #131,20.00,60.00,122,90
132,Road #132,10.00,70.00,29,57
133,Road #133,50.00,70.00,53,29
134,Road #134,30.00,50.00,109,124
135,Road #135,90.00,70.00,43,82
136,Road #136,90.00,110.00,47,49
137,Road #137,50.00,110.00,38,83
138,Road #138,20.00,60.00,91,37
139,Road #139,80.00,70.00,2,109
140,Road #140,30.00,70.00,17,104
141,Road #141,70.00,50.00,10,36
142,Road #142,30.00,70.00,6,88
143,Road #143,50.00,110.00,23,8
144,Road #144,60.00,60.00,48,63
145,Road #145,60.00,110.00,55,36
146,Road #146,30.00,100.00,118,42
147,Road #147,90.00,60.00,115,44
148,Road #148,30.00,50.00,20,71
149,Road #149,50.00,70.00,76,33
150,Road #150,30.00,70.00,24,120
151,Road #151,40.00,50.00,52,56
152,Road #152,70.00,90.00,121,110
153,Road #153,80.00,60.00,97,5
154,Road #154,90.00,70.00,34,115
155,Road #155,60.00,60.00,122,23
156,Road #156,40.00,110.00,47,74
157,Road #157,70.00,110.00,116,25
158,Road #158,80.00,100.00,85,57
159,Road #159,90.00,80.00,37,57
160,Road #160,70.00,50.00,23,111
161,Road #161,50.00,60.00,57,38
162,Road #162,70.00,100.00,90,12
163,Road #163,20.00,70.00,34,2
164,Road #164,60.00,70.00,98,67
165,Road #165,10.00,70.00,1,97
166,Road #166,60.00,90.00,78,67
167,Road #167,10.00,70.00,81,120
168,Road #168,90.00,100.00,82,42
169,Road #169,90.00,60.00,33,104
170,Road #170,90.00,50.00,124,34
171,Road #171,40.00,80.00,109,27
172,Road #172,90.00,60.00,37,15
173,Road #173,90.00,90.00,30,92
174,Road #174,90.00,60.00,127,120
175,Road #175,60.00,60.00,40,122
176,Road #176,50.00,100.00,62,117
177,Road #177,80.00,70.00,65,10
178,Road #178,40.00,110.00,103,74
179,Road #179,30.00,100.00,75,93
180,Road #180,70.00,110.00,62,33
181,Road #181,90.00,90.00,62,1
182,Road #182,40.00,50.00,80,101
183,Road #183,60.00,80.00,88,104
184,Road #184,90.00,80.00,38,52
185,Road #185,60.00,100.00,78,55
186,Road #186,60.00,80.00,9,6
187,Road #187,40.00,90.00,44,45
188,Road #188,70.00,90.00,120,80
189,Road #189,70.00,60.00,84,43
190,Road #190,40.00,100.00,49,119
191,Road #191,50.00,50.00,27,91
192,Road #192,20.00,80.00,89,53
193,Road #193,10.00,90.00,126,1
194,Road #194,80.00,70.00,85,55
195,Road #195,50.00,60.00,15,86
196,Road #196,10.00,100.00,43,93
197,Road #197,10.00,90.00,97,32
198,Road #198,90.00,90.00,23,14
199,Road #199,30.00,60.00,47,83
200,Road #200,90.00,70.00,50,41
201,Road #201,70.00,90.00,25,92
202,Road #202,60.00,110.00,69,48
203,Road #203,60.00,110.00,120,8
204,Road #204,90.00,90.00,50,111
205,Road #205,50.00,100.00,105,13
206,Road #206,20.00,90.00,3,102
207,Road #207,80.00,80.00,95,56
208,Road #208,30.00,100.00,18,46
209,Road #209,70.00,50.00,100,47
210,Road #210,10.00,60.00,95,36
211,Road #211,40.00,90.00,116,97
212,Road #212,40.00,100.00,116,25
213,Road #213,80.00,80.00,126,7
214,Road #214,20.00,50.00,123,45
215,Road #215,90.00,110.00,124,85
216,Road #216,90.00,60.00,97,71
217,Road #217,20.00,60.00,53,64
218,Road #218,80.00,80.00,43,49
219,Road #219,90.00,90.00,23,98
220,Road #220,70.00,80.00,93,79
221,Road #221,80.00,80.00,51,11
222,Road #222,20.00,50.00,15,116
223,Road #223,50.00,50.00,91,103
224,Road #224,10.00,60.00,17,97
225,Road #225,50.00,50.00,101,66
226,Road #226,20.00,80.00,61,96
227,Road #227,10.00,80.00,122,120
228,Road #228,90.00,100.00,99,115
229,Road #229,50.00,50.00,37,126
230,Road #230,40.00,90.00,88,53
231,Road #231,40.00,90.00,94,7
232,Road #232,30.00,110.00,30,81
233,Road #233,80.00,60.00,86,75
234,Road #234,70.00,80.00,51,29
235,Road #235,60.00,60.00,72,117
236,Road #236,50.00,110.00,5,77
237,Road #237,40.00,60.00,127,46
238,Road #238,10.00,80.00,115,80
239,Road #239,80.00,110.00,110,62
240,Road #240,90.00,90.00,5,80
241,Road #241,90.00,50.00,114,92
242,Road #242,80.00,100.00,46,60
243,Road #243,70.00,70.00,39,21
244,Road #244,60.00,50.00,68,22
245,Road #245,50.00,70.00,107,78
246,Road #246,40.00,80.00,9,21
247,Road #247,60.00,80.00,122,125
248,Road #248,80.00,80.00,79,6
249,Road #249,70.00,110.00,45,98
250,Road #250,20.00,100.00,89,1
251,Road #251,30.00,110.00,77,120
252,Road #252,40.00,80.00,50,73
253,Road #253,60.00,90.00,34,125
254,Road #254,80.00,70.00,70,48
255,Road #255,80.00,100.00,123,27
256,Road #256,40.00,70.00,18,124
